"GroupName";"OUSecondaire";"OUPrincipal";
User-Gestion des marques;"Communication et Relations publiques";"USER";
User-Relation Medias;"Communication et Relations publiques";"USER";
"User-Droit des societes";"Departement Juridique";"USER";
"User-Propriete intellectuelle";"Departement Juridique";"USER";
"User-Protection des donnees et conformite";"Departement Juridique";"USER";
"User-Developpement";"Developpement logiciel";"USER";
"User-analyse et conception";"Developpement logiciel";"USER";
"User-Test et qualite";"Developpement logiciel";"USER";
"User-Recherche et Prototype";"Developpement logiciel";"USER";
"User-Exploitation";"DSI";"USER";
"User-Administration Systemes et Reseaux";"DSI";"USER";
"User-Developpement et Integration";"DSI";"USER";
"User-Support";"DSI";"USER";
"User-Finance";"Finance et Comptabilite";"USER";
"User-Service Comptabilite";"Finance et Comptabilite";"USER";
"User-Fiscalite";"Finance et Comptabilite";"USER";
"User-Controle Qualite";"QHSE";"USER";
"User-Gestion environnementale";"QHSE";"USER";
"User-Certification";"QHSE";"USER";
"User-ADV";"Service Commercial";"USER";
"User-Service achat";"Service Commercial";"USER";
"User-B2B";"Service Commercial";"USER";
"User-Service Client";"Service Commercial";"USER";
"Pc-Gestion des marques";"Communication et Relations publiques";"COMPUTER";
"Pc-Relation Medias";"Communication et Relations publiques";"COMPUTER";
"Pc-Droit des societes";"Departement Juridique";"COMPUTER";
"Pc-Propriete intellectuelle";"Departement Juridique";"COMPUTER";
"Pc-Protection des donnees et conformite";"Departement Juridique";"COMPUTER";
"Pc-Developpement";"Developpement logiciel";"COMPUTER";
"Pc-analyse et conception";"Developpement logiciel";"COMPUTER";
"Pc-Test et qualite";"Developpement logiciel";"COMPUTER";
"Pc-Recherche et Prototype";"Developpement logiciel";"COMPUTER";
"Pc-Exploitation";"DSI";"COMPUTER";
"Pc-Administration Systemes et Reseaux";"DSI";"COMPUTER";
"Pc-Developpement et Integration";"DSI";"COMPUTER";
"Pc-Support";"DSI";"COMPUTER";
"Pc-Finance";"Finance et Comptabilite";"COMPUTER";
"Pc-Service Comptabilite";"Finance et Comptabilite";"COMPUTER";
"Pc-Fiscalite";"Finance et Comptabilite";"COMPUTER";
"Pc-Controle Qualite";"QHSE";"COMPUTER";
"Pc-Gestion environnementale";"QHSE";"COMPUTER";
"Pc-Certification";"QHSE";"COMPUTER";
"Pc-ADV";"Service Commercial";"COMPUTER";
"Pc-Service achat";"Service Commercial";"COMPUTER";
"Pc-B2B";"Service Commercial";"COMPUTER";
"Pc-Service Client";"Service Commercial";"COMPUTER";
